,Company,Ticker
0,2U,TWOU
1,3M,MMM
2,Abbott Laboratories,ABT
3,AbbVie Inc.,ABBV
4,Abiomed,ABMD
5,Acadia Healthcare,ACHC
6,Accenture,ACN
7,Activision Blizzard,ATVI
8,Acuity Brands,AYI
9,Adient,ADNT
10,Adobe Inc.,ADBE
11,ADT Inc.,ADT
12,Advance Auto Parts,AAP
13,Advanced Micro Devices,AMD
14,AECOM,ACM
15,AES Corporation,AES
16,Affiliated Managers Group,AMG
17,Aflac,AFL
18,AGCO,AGCO
19,Agilent Technologies,A
20,Agios Pharmaceuticals,AGIO
21,AGNC Investment Corp.,AGNC
22,Air Lease Corporation,AL
23,Air Products & Chemicals,APD
24,Akamai Technologies,AKAM
25,Alaska Air Group,ALK
26,Albemarle Corporation,ALB
27,Alcoa,AA
28,Alexandria Real Estate Equities,ARE
29,Alexion Pharmaceuticals,ALXN
30,Align Technology,ALGN
31,Alkermes,ALKS
32,Alleghany Corporation,Y
33,Allegion,ALLE
34,Alliance Data Systems,ADS
35,Alliant Energy,LNT
36,Allison Transmission,ALSN
37,Allstate,ALL
38,Ally Financial,ALLY
39,Alnylam Pharmaceuticals,ALNY
40,Alphabet Inc. (Class A),GOOGL
41,Alphabet Inc. (Class C),GOOG
42,Altria,MO
43,Amazon,AMZN
44,AMC Networks,AMCX
45,Amdocs,DOX
46,AMERCO,UHAL
47,Ameren,AEE
48,American Airlines,AAL
49,American Campus Communities,ACC
50,American Electric Power,AEP
51,American Express,AXP
52,American Financial Group,AFG
53,American Homes 4 Rent,AMH
54,American International Group,AIG
55,American National Insurance Company,ANAT
56,American Tower,AMT
57,American Water Works,AWK
58,Ameriprise Financial,AMP
59,AmerisourceBergen,ABC
60,Ametek,AME
61,Amgen,AMGN
62,Amphenol,APH
63,Analog Devices,ADI
64,Annaly Capital Management,NLY
65,Ansys,ANSS
66,Antero Resources,AR
67,Anthem,ANTM
68,AON,AON
69,APA Corporation,APA
70,Aimco,AIV
71,Apple Hospitality Reit,APLE
72,Apple Inc.,AAPL
73,Applied Materials,AMAT
74,Aptargroup,ATR
75,Aptiv,APTV
76,Essential Utilities,WTRG
77,Aramark,ARMK
78,Arch Capital Group,ACGL
79,Archer Daniels Midland,ADM
80,Ardagh Group,ARD
81,Arista Networks,ANET
82,Armstrong World Industries,AWI
83,Arrow Electronics,ARW
84,Ashland Inc.,ASH
85,Aspen Technology,AZPN
86,Associated Banc-Corp,ASB
87,Assurant,AIZ
88,Assured Guaranty,AGO
89,AT&T,T
90,Athene Holding,ATH
91,Atlassian,TEAM
92,Atmos Energy,ATO
93,Autodesk,ADSK
94,Automatic Data Processing,ADP
95,AutoNation,AN
96,AutoZone,AZO
97,AvalonBay Communities,AVB
98,Avangrid,AGR
99,Avery Dennison,AVY
100,Avnet,AVT
101,AXA Equitable Holdings,EQH
102,Axalta Coating Systems,AXTA
103,AXIS Capital,AXS
104,Baker Hughes,BKR
105,Ball Corporation,BLL
106,Bank of America,BAC
107,Bank of Hawaii,BOH
108,Bank of New York Mellon,BK
109,Bank OZK,OZK
110,BankUnited,BKU
111,Baxter International,BAX
112,Becton Dickinson,BDX
113,W. R. Berkley Corporation,WRB
114,Berkshire Hathaway,BRK.B
115,Berry Global,BERY
116,Best Buy,BBY
117,Beyond Meat,BYND
118,BGC Partners,BGCP
119,Biogen,BIIB
120,BioMarin Pharmaceutical,BMRN
121,Bio-Rad Laboratories,BIO
122,Bio-Techne,TECH
123,Black Knight,BKI
124,BlackRock,BLK
125,H&R Block,HRB
126,Bluebird Bio,BLUE
127,Boeing,BA
128,BOK Financial Corporation,BOKF
129,Booking Holdings,BKNG
130,Booz Allen Hamilton,BAH
131,BorgWarner,BWA
132,Boston Scientific,BSX
133,Brandywine Realty Trust,BDN
134,Bright Horizons Family Solutions,BFAM
135,Brighthouse Financial,BHF
136,Bristol-Myers Squibb,BMY
