,symbol,date,open,high,low,close,volume
0,TWOU,2021-04-23,38.92,41.95,38.51,40.56,1339545
1,MMM,2021-04-23,201.0,203.155,200.99,202.2,1897775
2,ABT,2021-04-23,123.62,124.11,122.645,123.31,5272865
3,ABBV,2021-04-23,109.71,111.7699,109.55,111.38,4671715
4,ABMD,2021-04-23,345.59,355.94,344.79,351.03,291367
5,ACHC,2021-04-23,61.88,62.78,60.65,62.19,331890
6,ACN,2021-04-23,290.19,292.891,289.7,291.74,1522374
7,ATVI,2021-04-23,93.7,94.04,92.69,93.02,4034299
8,AYI,2021-04-23,170.4,178.92,170.0,178.14,485923
9,ADNT,2021-04-23,46.13,48.84,45.5,48.6,1288861
10,ADBE,2021-04-23,508.79,517.4973,508.395,515.84,2257590
11,ADT,2021-04-23,8.89,9.32,8.79,9.26,2888148
12,AAP,2021-04-23,200.98,201.39,197.27,199.75,523242
13,AMD,2021-04-23,80.21,83.3,79.96,82.76,49267281
14,ACM,2021-04-23,66.72,67.54,66.46,67.35,616412
15,AES,2021-04-23,28.23,28.5,28.17,28.3,3343105
16,AMG,2021-04-23,156.23,159.38,156.23,158.14,313148
17,AFL,2021-04-23,53.04,53.57,52.8,53.37,2831716
18,AGCO,2021-04-23,150.22,155.95,149.75,153.72,763006
19,A,2021-04-23,134.57,137.12,134.5,136.68,1508631
20,AGIO,2021-04-23,55.61,55.99,54.405,54.73,520185
21,AGNC,2021-04-23,17.38,17.54,17.3,17.47,6230709
22,AL,2021-04-23,46.78,47.43,46.65,47.24,363020
23,APD,2021-04-23,285.52,291.11,284.71,290.3,898558
24,AKAM,2021-04-23,105.68,108.02,105.22,107.01,2218359
25,ALK,2021-04-23,67.55,69.55,67.2,69.21,1211690
26,ALB,2021-04-23,156.05,167.86,154.67,161.23,1592839
27,AA,2021-04-23,33.98,34.86,33.7602,34.71,4912439
28,ARE,2021-04-23,179.21,179.71,177.58,179.35,523430
29,ALXN,2021-04-23,167.3,167.77,166.57,166.92,1597394
30,ALGN,2021-04-23,616.0,624.79,616.0,620.12,537891
31,ALKS,2021-04-23,21.1,21.35,20.76,21.28,1268404
32,Y,2021-04-23,681.65,687.95,672.165,679.85,68511
33,ALLE,2021-04-23,134.78,138.83,134.3,138.35,956243
34,ADS,2021-04-23,105.51,107.795,104.95,107.07,360044
35,LNT,2021-04-23,57.03,57.03,56.42,56.44,983840
36,ALSN,2021-04-23,43.45,44.015,43.13,43.79,676797
37,ALL,2021-04-23,124.09,125.27,123.69,125.05,1198580
38,ALLY,2021-04-23,47.79,49.03,47.16,48.9,2430219
39,ALNY,2021-04-23,138.59,140.47,135.62,136.72,328130
40,GOOGL,2021-04-23,2267.0,2306.1175,2261.25,2299.93,1455554
41,GOOG,2021-04-23,2283.47,2325.82,2278.21,2315.3,1435162
42,MO,2021-04-23,46.48,47.51,46.45,47.39,9193017
43,AMZN,2021-04-23,3319.1,3375.0,3308.5,3340.88,3196612
44,AMCX,2021-04-23,52.25,53.45,51.44,52.54,314438
45,DOX,2021-04-23,77.66,78.56,77.51,78.15,510262
46,UHAL,2021-04-23,597.89,599.44,594.71,595.67,34520
47,AEE,2021-04-23,84.78,85.19,84.32,84.78,971664
48,AAL,2021-04-23,20.27,21.2,20.18,21.11,48123875
49,ACC,2021-04-23,45.59,45.93,45.22,45.72,557269
50,AEP,2021-04-23,88.4,88.4,87.36,87.7,3136937
51,AXP,2021-04-23,141.54,144.98,140.68,144.33,6490687
